FILE_NAME,TYPE,NB_USERS,SIZE_KO,SOLVER,SOLVING_TIME_MS
1user_complexgdpr_lifecycle.pl,lifecycle,1,7,Prolog,25
1user_complexgdpr_lifecycle.pl,lifecycle,1,7,Cypher,60
1user_gdpr_flow.pl,flow,1,5,Prolog,18
1user_gdpr_flow.pl,flow,1,5,Cypher,16
1user_socialNetwork_compliant.pl,compliant,1,2,Prolog,17
1user_socialNetwork_compliant.pl,compliant,1,2,Cypher,9
1user_socialNetwork_noncompliant.pl,noncompliant,1,2,Prolog,17
1user_socialNetwork_noncompliant.pl,noncompliant,1,2,Cypher,52
2users_gdpr_flow.pl,flow,2,11,Prolog,24
2users_gdpr_flow.pl,flow,2,11,Cypher,24
2users_test_scenario.pl,scenario,2,1,Prolog,18
2users_test_scenario.pl,scenario,2,1,Cypher,2
5users_large_gdpr_scenario.pl,gdpr,5,9,Prolog,22
5users_large_gdpr_scenario.pl,gdpr,5,9,Cypher,4
empty_prov_graph.pl,provenance,empty,0,Prolog,15
empty_prov_graph.pl,provenance,empty,0,Cypher,2
