FILE_NAME,TYPE,NB_USERS,SIZE_KO,NODE_COUNT,USER_COUNT,SOLVER,ISSUE_COUNT,SOLVING_TIME_MS
logs_graph.pl,graph,625,1626,8256,625,Prolog,0,562
logs_graph.pl,graph,625,1626,8256,625,Cypher,0,26
200_3_PS.pl,PS,201,1037,2490,201,Prolog,0,234
200_3_PS.pl,PS,201,1037,2490,201,Cypher,0,6
200_3_SN.pl,SN,201,1135,2676,201,Prolog,0,231
200_3_SN.pl,SN,201,1135,2676,201,Cypher,0,4
200_3_W.pl,W,201,1041,2517,201,Prolog,6,217
200_3_W.pl,W,201,1041,2517,201,Cypher,6,15
20_45_W.pl,W,21,156,353,21,Prolog,0,61
20_45_W.pl,W,21,156,353,21,Cypher,0,5
20_46_SN.pl,SN,21,169,354,21,Prolog,0,62
20_46_SN.pl,SN,21,169,354,21,Cypher,0,4
20_50_PS.pl,PS,21,165,327,21,Prolog,0,52
20_50_PS.pl,PS,21,165,327,21,Cypher,0,3
2_3_PS.pl,PS,3,12,55,3,Prolog,6,10
2_3_PS.pl,PS,3,12,55,3,Cypher,6,2
2_3_SN.pl,SN,3,10,52,3,Prolog,7,10
2_3_SN.pl,SN,3,10,52,3,Cypher,7,3
2_3_W.pl,W,3,17,68,3,Prolog,0,29
2_3_W.pl,W,3,17,68,3,Cypher,0,3
