FILE_NAME,TYPE,NB_USERS,SIZE_KO,NODE_COUNT,USER_COUNT,SOLVER,ISSUE_COUNT,SOLVING_TIME_MS
logs_graph.pl,graph,625,1626,8256,625,Prolog,230,8653
logs_graph.pl,graph,625,1626,8256,625,Cypher,230,604
200_3_PS.pl,PS,201,1037,2490,201,Prolog,2238,60720
200_3_PS.pl,PS,201,1037,2490,201,Cypher,2238,66645
200_3_SN.pl,SN,201,1135,2676,201,Prolog,1989,68495
200_3_SN.pl,SN,201,1135,2676,201,Cypher,1989,28315
200_3_W.pl,W,201,1041,2517,201,Prolog,1650,61242
200_3_W.pl,W,201,1041,2517,201,Cypher,1650,35332
20_45_W.pl,W,21,156,353,21,Prolog,376,511
20_45_W.pl,W,21,156,353,21,Cypher,376,438
20_46_SN.pl,SN,21,169,354,21,Prolog,385,478
20_46_SN.pl,SN,21,169,354,21,Cypher,385,365
20_50_PS.pl,PS,21,165,327,21,Prolog,341,366
20_50_PS.pl,PS,21,165,327,21,Cypher,341,695
2_3_PS.pl,PS,3,12,55,3,Prolog,24,13
2_3_PS.pl,PS,3,12,55,3,Cypher,24,5
2_3_SN.pl,SN,3,10,52,3,Prolog,35,12
2_3_SN.pl,SN,3,10,52,3,Cypher,35,4
2_3_W.pl,W,3,17,68,3,Prolog,38,22
2_3_W.pl,W,3,17,68,3,Cypher,38,119
