FILE_NAME,TYPE,NB_USERS,SIZE_KO,NODE_COUNT,USER_COUNT,SOLVER,ISSUE_COUNT,SOLVING_TIME_MS
logs_graph.pl,graph,625,1626,8256,625,Prolog,0,600
logs_graph.pl,graph,625,1626,8256,625,Cypher,0,19
200_3_PS.pl,PS,201,1037,2490,201,Prolog,192,4548
200_3_PS.pl,PS,201,1037,2490,201,Cypher,192,17
200_3_SN.pl,SN,201,1135,2676,201,Prolog,191,5779
200_3_SN.pl,SN,201,1135,2676,201,Cypher,191,14
200_3_W.pl,W,201,1041,2517,201,Prolog,195,7025
200_3_W.pl,W,201,1041,2517,201,Cypher,195,19
20_45_W.pl,W,21,156,353,21,Prolog,20,86
20_45_W.pl,W,21,156,353,21,Cypher,20,5
20_46_SN.pl,SN,21,169,354,21,Prolog,20,75
20_46_SN.pl,SN,21,169,354,21,Cypher,20,8
20_50_PS.pl,PS,21,165,327,21,Prolog,20,58
20_50_PS.pl,PS,21,165,327,21,Cypher,20,6
2_3_PS.pl,PS,3,12,55,3,Prolog,2,11
2_3_PS.pl,PS,3,12,55,3,Cypher,2,3
2_3_SN.pl,SN,3,10,52,3,Prolog,2,10
2_3_SN.pl,SN,3,10,52,3,Cypher,2,3
2_3_W.pl,W,3,17,68,3,Prolog,2,15
2_3_W.pl,W,3,17,68,3,Cypher,2,3
