FILE_NAME,TYPE,NB_USERS,SIZE_KO,NODE_COUNT,USER_COUNT,SOLVER,ISSUE_COUNT,SOLVING_TIME_MS
logs_graph.pl,graph,625,1626,8256,625,Prolog,12,6813
logs_graph.pl,graph,625,1626,8256,625,Cypher,12,6
200_3_PS.pl,PS,201,1037,2490,201,Prolog,4480,70856
200_3_PS.pl,PS,201,1037,2490,201,Cypher,4480,46
200_3_SN.pl,SN,201,1135,2676,201,Prolog,4789,78465
200_3_SN.pl,SN,201,1135,2676,201,Cypher,4789,61
200_3_W.pl,W,201,1041,2517,201,Prolog,3925,74451
200_3_W.pl,W,201,1041,2517,201,Cypher,3925,58
20_45_W.pl,W,21,156,353,21,Prolog,746,515
20_45_W.pl,W,21,156,353,21,Cypher,746,21
20_46_SN.pl,SN,21,169,354,21,Prolog,889,411
20_46_SN.pl,SN,21,169,354,21,Cypher,889,20
20_50_PS.pl,PS,21,165,327,21,Prolog,888,414
20_50_PS.pl,PS,21,165,327,21,Cypher,888,17
2_3_PS.pl,PS,3,12,55,3,Prolog,65,16
2_3_PS.pl,PS,3,12,55,3,Cypher,65,5
2_3_SN.pl,SN,3,10,52,3,Prolog,56,14
2_3_SN.pl,SN,3,10,52,3,Cypher,56,4
2_3_W.pl,W,3,17,68,3,Prolog,68,17
2_3_W.pl,W,3,17,68,3,Cypher,68,4
