GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ter,GraphDB,Neo4jInterface,321,0,17,0,78,0,25,0,15,0
ter,GraphDB,GraphDBToProlog,590,0,26,0,102,0,15,0,2,0
ter,GraphDB,PrologToGraphDB,572,0,30,0,124,0,29,0,14,0
ter,Solver,Measurements,552,0,72,0,122,0,40,0,4,0
ter,Solver,Issue,180,171,14,5,33,14,17,7,8,4
ter,Solver,PrologSolver,447,0,36,0,103,0,35,0,14,0
ter,Solver,SolverCypher,8,246,5,26,2,51,5,20,0,8
ter,Solver,Issue.IssueType,2,69,1,3,1,10,1,4,0,3
ter,Traducteur,Converter,13,187,5,24,3,42,6,14,2,2
ter,Traducteur,Parser,0,147,2,10,0,37,2,10,0,6
ter,Interface.ter,SolveController,47,0,0,0,13,0,5,0,5,0
ter,Interface.ter,App,36,0,0,0,11,0,3,0,3,0
ter,Interface.ter,ScreenController,1540,0,66,0,308,0,65,0,32,0
ter,Interface.ter,AppLauncher,6,0,0,0,3,0,2,0,2,0
ter,Interface.ter,PrimaryController,4,0,0,0,2,0,2,0,2,0
ter,Interface.ter,SecondaryController,4,0,0,0,2,0,2,0,2,0
ter,Interface.ter,ScreenController.new ListCell() {...},19,0,2,0,4,0,3,0,2,0
